Sep=;
#X1;-41
#Z1;-15851
#X2;17097
#Z2;1169
seed;structure;x;z;details
202361620;end_city;0;-15680;size=55:ship
202361620;end_city;48;-11792;size=35:ship
202361620;end_city;80;-9584;size=32
202361620;end_city;352;-13696;size=113:ship
202361620;end_city;416;-13024;size=81:ship
202361620;end_city;352;-10224;size=24:ship
202361620;end_city;720;-12448;size=10
202361620;end_city;704;-9264;size=136
202361620;end_city;704;-8240;size=62:ship
202361620;end_city;1008;-10832;size=86:ship
202361620;end_city;1056;-9568;size=24
202361620;end_city;1008;-8592;size=120:ship
202361620;end_city;1040;-8256;size=116:ship
202361620;end_city;1008;-6016;size=24:ship
202361620;end_city;992;-4432;size=41:ship
202361620;end_city;1008;1008;size=10
202361620;end_city;1280;-15312;size=62:ship
202361620;end_city;1312;-13712;size=36:ship
202361620;end_city;1328;-13376;size=61
202361620;end_city;1408;-12416;size=58:ship
202361620;end_city;1344;-11104;size=48
202361620;end_city;1360;-10192;size=106:ship
202361620;end_city;1312;-3792;size=29
202361620;end_city;1392;-3392;size=52:ship
202361620;end_city;1376;-3168;size=73:ship
202361620;end_city;1360;-2160;size=27:ship
202361620;end_city;1328;-1472;size=11
202361620;end_city;1632;-13056;size=75:ship
202361620;end_city;1648;-10480;size=11
202361620;end_city;1664;-9856;size=107:ship
202361620;end_city;1664;-9552;size=72:ship
202361620;end_city;1664;-7616;size=84:ship
202361620;end_city;1648;-2496;size=10
202361620;end_city;1696;-1824;size=38:ship
202361620;end_city;1712;-1184;size=58
202361620;end_city;1648;-864;size=10
202361620;end_city;2016;-13024;size=11
202361620;end_city;1984;-6976;size=22
202361620;end_city;1952;-6336;size=80:ship
202361620;end_city;1952;-5968;size=25:ship
202361620;end_city;1984;-4432;size=42
202361620;end_city;1968;-1840;size=89:ship
202361620;end_city;2336;-14944;size=64:ship
202361620;end_city;2272;-7024;size=88
202361620;end_city;2336;-6720;size=125:ship
202361620;end_city;2304;-5120;size=123:ship
202361620;end_city;2624;-9856;size=95:ship
202361620;end_city;2640;-8256;size=14
202361620;end_city;2624;-2800;size=107:ship
202361620;end_city;2656;-1520;size=66:ship
202361620;end_city;2608;-1232;size=72:ship
202361620;end_city;2624;1024;size=116:ship
202361620;end_city;2928;-12416;size=72:ship
202361620;end_city;3008;-11488;size=48
202361620;end_city;2928;-5344;size=25
202361620;end_city;2944;-4784;size=50:ship
202361620;end_city;2896;-1552;size=10
202361620;end_city;3232;-14320;size=162:ship
202361620;end_city;3296;-13392;size=12
202361620;end_city;3264;-10800;size=48:ship
202361620;end_city;3280;-9488;size=49
202361620;end_city;3248;-6992;size=76:ship
202361620;end_city;3248;-6400;size=73:ship
202361620;end_city;3216;-5376;size=106:ship
202361620;end_city;3552;-9536;size=192:ship
202361620;end_city;3552;-5376;size=23:ship
202361620;end_city;3888;-5680;size=10
202361620;end_city;3888;-4096;size=86:ship
202361620;end_city;3936;-224;size=76
202361620;end_city;4192;-14032;size=10
202361620;end_city;4224;-9264;size=22
202361620;end_city;4224;-8576;size=123:ship
202361620;end_city;4208;-6608;size=68
202361620;end_city;4240;-5696;size=26
202361620;end_city;4256;-5344;size=82
202361620;end_city;4256;-1200;size=27:ship
202361620;end_city;4560;-13376;size=101:ship
202361620;end_city;4848;-15600;size=114:ship
